SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
1280,2020-04-24T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1159,130,1289,8390,9679,348,6306,1244,17229,181473
1281,2020-04-25T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,323,26,349,1712,2061,29,478,293,2832,25959
1282,2020-04-25T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,58,7,65,153,218,1,118,25,361,9792
1283,2020-04-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,125,7,132,679,811,9,197,80,1088,28006
1284,2020-04-25T17:00:00,ITA,15,Campania,40.83956555,14.25084984,543,55,598,2337,2935,17,1023,341,4299,41399
1285,2020-04-25T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2718,246,2964,9383,12347,239,8515,3347,24209,105628
1286,2020-04-25T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,122,15,137,947,1084,21,1556,263,2903,37211
1287,2020-04-25T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1421,183,1604,2957,4561,92,1276,387,6224,90582
1288,2020-04-25T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,759,83,842,2591,3433,128,2775,1093,7301,26898
1289,2020-04-25T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,8489,724,9213,25260,34473,713,24227,13269,71969,202827
1290,2020-04-25T17:00:00,ITA,11,Marche,43.61675973,13.5188753,689,58,747,2525,3272,30,1912,874,6058,34256
1291,2020-04-25T17:00:00,ITA,14,Molise,41.55774754,14.65916051,19,1,20,178,198,5,73,21,292,5089
1292,2020-04-25T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,141,14,155,880,1035,20,1176,265,2476,17573
1293,2020-04-25T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,202,27,229,1515,1744,62,1694,400,3838,19394
1294,2020-04-25T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2937,238,3175,12327,15502,604,6157,2767,24426,93325
1295,2020-04-25T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,469,48,517,2402,2919,31,602,391,3912,53500
1296,2020-04-25T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,96,18,114,680,794,14,374,103,1271,18480
1297,2020-04-25T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,452,33,485,1787,2272,39,524,224,3020,64892
