429,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
308,211,19/3/2020,6:00 PM,Chhattisgarh,1,0,0,0,1
869,395,27/3/2020,10:00 AM,Bihar,6,0,0,1,6
359,346,25/3/2020,6:00 PM,Haryana,14,14,11,0,28
738,161,15/3/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13
996,294,23/3/2020,6:00 PM,Andhra Pradesh,7,0,0,0,7
179,264,21/3/2020,6:00 PM,Telengana,10,11,1,0,21
303,88,10/3/2020,6:00 PM,Delhi,4,0,0,0,4
970,228,19/3/2020,6:00 PM,West Bengal,1,0,0,0,1
461,318,24/3/2020,6:00 PM,Bihar,3,0,0,1,3
167,225,19/3/2020,6:00 PM,Ladakh,8,0,0,0,8
807,242,20/3/2020,6:00 PM,Telengana,8,9,1,0,17
200,23,21/2/2020,6:00 PM,Kerala,3,0,0,0,3
685,253,21/3/2020,6:00 PM,Haryana,3,14,0,0,17
613,387,26/3/2020,6:00 PM,Rajasthan,39,2,3,0,41
492,73,8/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
298,244,20/3/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
519,125,13/3/2020,6:00 PM,Kerala,19,0,3,0,19
439,415,27/3/2020,10:00 AM,Tamil Nadu,23,6,1,1,29
827,337,24/3/2020,6:00 PM,Ladakh,13,0,0,0,13
243,49,5/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
199,106,11/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
371,385,26/3/2020,6:00 PM,Puducherry,1,0,0,0,1
87,177,16/3/2020,6:00 PM,Uttarakhand,1,0,0,0,1
327,56,6/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
698,166,16/3/2020,6:00 PM,Karnataka,6,0,0,1,6
400,344,25/3/2020,6:00 PM,Delhi,30,1,6,1,31
517,219,19/3/2020,6:00 PM,Punjab,2,0,0,1,2
838,70,8/3/2020,6:00 PM,Kerala,8,0,3,0,8
740,268,21/3/2020,6:00 PM,Uttar Pradesh,23,1,9,0,24
665,78,9/3/2020,6:00 PM,Punjab,1,0,0,0,1
149,331,24/3/2020,6:00 PM,Punjab,29,0,0,1,29
860,302,23/3/2020,6:00 PM,Kerala,60,7,3,0,67
402,145,14/3/2020,6:00 PM,Punjab,1,0,0,0,1
616,39,3/3/2020,6:00 PM,Delhi,1,0,0,0,1
455,153,15/3/2020,6:00 PM,Kerala,22,0,3,0,22
181,316,23/3/2020,6:00 PM,West Bengal,7,0,0,0,7
233,155,15/3/2020,6:00 PM,Punjab,1,0,0,0,1
418,338,24/3/2020,6:00 PM,Uttar Pradesh,32,1,11,0,33
737,397,27/3/2020,10:00 AM,Chhattisgarh,6,0,0,0,6
457,7,5/2/2020,6:00 PM,Kerala,3,0,0,0,3
960,367,26/3/2020,6:00 PM,Andhra Pradesh,11,0,1,0,11
684,350,25/3/2020,6:00 PM,Madhya Pradesh,14,0,0,0,14
391,238,20/3/2020,6:00 PM,Puducherry,1,0,0,0,1
562,164,16/3/2020,6:00 PM,Delhi,7,0,2,1,7
178,116,12/3/2020,6:00 PM,Ladakh,3,0,0,0,3
894,360,25/3/2020,6:00 PM,Chandigarh,7,0,0,0,7
562,323,24/3/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
912,188,17/3/2020,6:00 PM,Telengana,3,2,1,0,5
758,430,28/3/2020,6:00 PM,Jammu and Kashmir,20,0,1,1,20
887,347,25/3/2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
384,381,26/3/2020,6:00 PM,Maharashtra,121,3,1,3,124
427,126,13/3/2020,6:00 PM,Rajasthan,1,2,0,0,3
278,421,28/3/2020,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6
677,439,28/3/2020,6:00 PM,Puducherry,1,0,0,0,1
499,288,22/3/2020,6:00 PM,Chandigarh,5,0,0,0,5
820,351,25/3/2020,6:00 PM,Maharashtra,125,3,1,3,128
993,297,23/3/2020,6:00 PM,Delhi,28,1,5,1,29
934,257,21/3/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
317,128,13/3/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
